,store,local,address,phone
0,목포대성점,전라남도,전남 목포시 마파지로27번길 10,061-272-5850
1,속초조양점,강원도,"강원 속초시 조양로 181, 상가2동 2103호",033-638-5811
2,하남감일점,경기도,경기 하남시 감일로72번길 9,02-400-5851
3,부산초량점,,부산 동구 고관로29번길 51-1 1층,051-465-3802
4,대전송촌점,대전,대전 대덕구 송촌북로4번길 35-6 1층,042-622-5851
5,평촌더샾센트럴시티점,경기도,경기 안양시 동안구 시민대로327번길 55,031-422-7879
6,안동옥동점,경상북도,경북 안동시 광명로 198,054-854-9282
7,해운대좌동점,,부산시 해운대구 양운로 56,051-703-9992
8,충남당진점,충청남도,충청남도 당진시 수청 5길 16,041-354-5757
9,태전점,경기도,경기 광주시 태전동로 14 상가동 지1층 1-7호,031-768-5851
10,광주송정점,광주,광주 광산구 남동길30번길 45 1층,062-412-0028
11,수유점,,서울 강북구 노해로8가길 9 1층,02-905-5559
12,광주광천점,광주,광주 서구 무진대로 919 상가동 1층 136호,062-352-5851
13,동해쇄운점,강원도,강원 동해시 효자남길 27-7 1층,033-521-8242
14,목동1호점,,서울 양천구 등촌로 142,02-2644-9282
15,당산sk점,,서울 영등포구 당산로41길 11 1층 110호,02-2677-5852
16,송도힐스테이트레이크점,인천,"인천광역시 연수구 아카데미로 446, 221동 104호",032-831-6212
17,경북청송점,경상북도,경상북도 청송군 진보면 본마을2길 20,054-872-8773
18,대구율하점,,대구시 동구 율하동 894-4,053-965-0818
19,전주송천점,전라북도,"전주시 덕진구 송전동 98-1, 102호",063-255-5154
20,정읍수성점,전라북도,전라북도 정읍시 수성 택지 6길 20,063-537-5851
21,광양마동점,전라남도,전라남도 광양시 사동로 205-1,061-793-7292
22,울산구영점,울산,울산광역시 울주군 범서읍 대리2길 49,052-248-5851
23,울산달동점,울산,울산광역시 남구 신정로 75 111호 삼정근린코아,052-273-9998
24,울산매곡점,울산,울산 북구 매곡1로 27,052-282-3611
25,울산야음점,울산,울산광역시 남구 수암로 198,052-260-5851
26,울산언양점,울산,울산광역시 울주군 삼남읍 남상평2길 44,054-264-5851
27,울산옥동점,울산,울산광역시 남구 거마로 22 현대대륙아파트 상가,052-227-3382
28,노형직영점,제주도,제주시 노형동 1280-7,064-742-0388
29,외도직영점,제주도,제주시 우정로 26 1층(외도1동),064-744-7292
30,울산덕신점,울산,"울산광역시 울주군 온산읍 영남6길 9, 1층",052-237-2252
31,여수학동점,전라남도,전라남도 여수시 시청동3길 35-13,061-686-3444
32,광양중동점,전라남도,전라남도 광양시 길호길 27,061-792-5858
33,광양칠성리점,전라남도,전라남도 광양시 광양읍 서북2길 108,061-761-5851
34,금당연향점,전라남도,순천시 해룡면 상삼리 661,061-7222-8888
35,나주혁신점,전라남도,전라남도 나주시 상야1길 7,061-334-3378
36,목포하당점,전라남도,전라남도 목포시 통일대로 102,061-284-8282
37,순천신대지구점,전라남도,전라남도 순천시 해룡면 좌야로 159-14,061-723-5851
38,순천오천점,전라남도,전라남도 순천시 오천 2길 21 1층,061-743-5556
39,여수여서점,전라남도,전라남도 여수시 여서로 181 부영6차아파트,061-652-9292
40,울산야음점,울산,울산광역시 남구 수암로 198,052-260-5851
41,울산언양점,울산,울산광역시 울주군 삼남읍 남상평2길 44,054-264-5851
42,울산옥동점,울산,울산광역시 남구 거마로 22 현대대륙아파트 상가,052-227-3382
43,노형직영점,제주도,제주시 노형동 1280-7,064-742-0388
44,외도직영점,제주도,제주시 우정로 26 1층(외도1동),064-744-7292
45,목포하당점,전라남도,전라남도 목포시 통일대로 102,061-284-8282
46,나주혁신점,전라남도,전라남도 나주시 상야1길 7,061-334-3378
47,군산나운점,전라북도,전라북도 군산시 나운안1길 7,063-467-9942
48,군산종합경기장점,전라북도,전라북도 군산시 번영로 239,063-451-5851
49,익산영등어양점,전라북도,전라북도 익산시 어양동 86-6,063-838-5851
50,전북김제점,전라북도,전라북도 김제시 금성로 149,063-546-5851
51,전주서신점,전라북도,전라북도 전주시 완산구 당산로 61_110동 109호,063-276-6006
52,전주에코시티점,전라북도,전라북도 전주시 덕진구 세병로 111 근린생활시설 103호,063-902-5851
53,전주평화점,전라북도,전라북도 전주시 완산구 평화7길 40,063-232-3392
54,전주혁신점,전라북도,전주시 덕진구 오공로 43-7,063-229-5851
55,정읍수성점,전라북도,전라북도 정읍시 수성 택지 6길 20,063-537-5851
56,광양마동점,전라남도,전라남도 광양시 사동로 205-1,061-793-7292
57,광양중동점,전라남도,전라남도 광양시 길호길 27,061-792-5858
58,광양칠성리점,전라남도,전라남도 광양시 광양읍 서북2길 108,061-761-5851
59,금당연향점,전라남도,순천시 해룡면 상삼리 661,061-7222-8888
60,광양마동점,전라남도,전라남도 광양시 사동로 205-1,061-793-7292
61,정읍수성점,전라북도,전라북도 정읍시 수성 택지 6길 20,063-537-5851
62,부산청학점,부산,부산광역시 영도구 청학북로 2,051-418-5851
63,부산주례점,부산,부산시 사상구 백양대로 490,051-325-5851
64,부산신호점,부산,부산광역시 강서구 신호산단5로 51-1,051-832-5055
65,부산사직점,부산,부산시 동래구 사직북로 64 kcc스위첸 1단지아파트 상가,051-503-5851
66,부산반여점,부산,부산시 해운대구 반여동 1023-6,051-715-5595
67,부산대연점,부산,부산시 남구 유엔로 211,051-626-5851
68,부산다대포점,부산,부산시 사하구 다대동 1551-33,051-262-5879
69,후평1동점,강원도,강원도 춘천시 춘천로 402,033-255-7108
70,부전점,부산,부산시 부산진구 새싹로 29번길 34,070-7543-2174
71,영도동삼점,부산,부산광역시 영도구 중리로 53 절영아파트,051-405-5851
72,전주혁신점,전라북도,전주시 덕진구 오공로 43-7,063-229-5851
73,전주평화점,전라북도,전라북도 전주시 완산구 평화7길 40,063-232-3392
74,전주에코시티점,전라북도,전라북도 전주시 덕진구 세병로 111 근린생활시설 103호,063-902-5851
75,전주서신점,전라북도,전라북도 전주시 완산구 당산로 61_110동 109호,063-276-6006
76,전북김제점,전라북도,전라북도 김제시 금성로 149,063-546-5851
77,익산영등어양점,전라북도,전라북도 익산시 어양동 86-6,063-838-5851
78,군산종합경기장점,전라북도,전라북도 군산시 번영로 239,063-451-5851
79,군산나운점,전라북도,전라북도 군산시 나운안1길 7,063-467-9942
80,동해동호점,강원도,강원도 동해시 동호4길1,033-533-5852
81,강릉포남점,강원도,강릉시 성덕포남로 174번길 46,033-653-5851
82,강릉단오점,강원도,강원도 강릉시 임영로 72-1,033-642-0555
83,홍성현모점,충청남도,충청남도 홍성군 홍성읍 남장리 580,041-635-0108
84,충남태안점,충청남도,충남 태안군 태안읍 동문5길 11-4,041-675-1858
85,천안쌍용점,충청남도,충청남도 천안시 서북구 월봉로 70 1층,041-566-9292
86,천안신부힐스테이트점,충청남도,충청남도 천안시 동남구 북일로 70,041-558-5852
87,후평1동점,강원도,강원도 춘천시 춘천로 402,033-255-7108
88,부산다대포점,부산,부산시 사하구 다대동 1551-33,051-262-5879
89,부산대연점,부산,부산시 남구 유엔로 211,051-626-5851
90,익산영등어양점,전라북도,전라북도 익산시 어양동 86-6,063-838-5851
91,군산종합경기장점,전라북도,전라북도 군산시 번영로 239,063-451-5851
92,군산나운점,전라북도,전라북도 군산시 나운안1길 7,063-467-9942
93,영도동삼점,부산,부산광역시 영도구 중리로 53 절영아파트,051-405-5851
94,부전점,부산,부산시 부산진구 새싹로 29번길 34,070-7543-2174
95,부산청학점,부산,부산광역시 영도구 청학북로 2,051-418-5851
96,부산주례점,부산,부산시 사상구 백양대로 490,051-325-5851
97,부산신호점,부산,부산광역시 강서구 신호산단5로 51-1,051-832-5055
98,부산사직점,부산,부산시 동래구 사직북로 64 kcc스위첸 1단지아파트 상가,051-503-5851
99,부산반여점,부산,부산시 해운대구 반여동 1023-6,051-715-5595
100,충남당진점,충청남도,충청남도 당진시 수청 5길 16,041-354-5757
101,태전점,경기도,경기 광주시 태전동로 14 상가동 지1층 1-7호,031-768-5851
102,광주송정점,광주,광주 광산구 남동길30번길 45 1층,062-412-0028
103,수유점,,서울 강북구 노해로8가길 9 1층,02-905-5559
104,광주광천점,광주,광주 서구 무진대로 919 상가동 1층 136호,062-352-5851
105,동해쇄운점,강원도,강원 동해시 효자남길 27-7 1층,033-521-8242
106,목동1호점,,서울 양천구 등촌로 142,02-2644-9282
107,당산sk점,,서울 영등포구 당산로41길 11 1층 110호,02-2677-5852
108,송도힐스테이트레이크점,인천,"인천광역시 연수구 아카데미로 446, 221동 104호",032-831-6212
109,대치점,서울,서울 강남구 남부순환로 2917,02-2051-1192
110,대구매천점,,대구광역시 북구 매천동 753 한신더휴 이스턴펠리스 402동 205호,053-311-7999
111,울산천곡점,울산,울산 북구 달천로 20 B동 101호,052-282-3610
112,남부터미널점,서울,서울특별시 서초구 반포대로10길 35,02-588-1184
113,녹번점,서울,서울특별시 은평구 응암동 56-22,02-356-5892
114,대림점,서울,서울특별시 영등포구 신길로 29 e편한아델포레 102호,02-6448-5858
115,둔촌역점,서울,서울특별시 강동구 양재대로89길 13,02-478-9290
116,마곡역점,서울,"서울특별시 강서구 마곡중앙4로 10, 107호",02-2662-5439
117,마포염리점,서울,서울특별시 마포구 숭문길 98,오픈예정
118,문정법조타운점,서울,서울특별시 송파구 새말로 62,02-408-5851
119,반포영동점,서울,서울특별시 서초구 강남대로83길 22,02-413-9937
120,방이점,서울,서울특별시 송파구 오금로11길 37,02-425-5851
121,방학신동아점,서울,서울특별시 도봉구 방학로 183,02-954-6999
122,봉천역점,서울,서울특별시 관악구 봉천로 390,02-883-6493
123,북아현점,서울,서울특별시 서대문구 북아현동 1-954 신촌 힐스테이트 상가,02-392-5852
